,car_full_nm,horsepower_bhp,rpm_horsepower_measure_point,torque_lb_ft,rpm_torque_measure_point,car_0_60_time_seconds,engine_size_cc,engine_size_ci,top_speed_mph,top_speed_kph,horsepower_per_ton_bhp,year,decade,make_nm,car_weight_tons,torque_per_ton
308,Plymouth Road Runner 426 Hemi V8 1st Gen - [1968],425,5000,490.0,4000.0,0.0,6981.0,426.0,105.0,168.0,251.3,1968,1960s,Plymouth,1.6912057302029397,289.734117647059
309,Dodge Challenger R/T 426 7.0 V8 Hemi - [1970],425,3000,490.0,4000.0,0.0,6974.0,425.5,117.0,188.0,256.7,1970,1970s,Dodge,1.6556291390728501,295.96
310,Chevrolet Corvette C3 ZR2 Stingray 7.4 V8 Convertible - [1971],425,5600,475.0,4000.0,0.0,7446.0,454.3,152.0,244.0,269.3,1971,1970s,Chevrolet,1.5781656145562601,300.982352941176
311,Chevrolet Monte Carlo SS 454 425bhp - [1971],425,5600,390.0,3600.0,0.0,7446.0,454.3,129.0,207.0,241.8,1971,1970s,Chevrolet,1.7576509511993401,221.887058823529
312,Vauxhall-Opel VXR8 Tourer 6.2 V8 - [2013],425,6000,406.0,4600.0,0.0,6162.0,376.0,155.0,249.0,214.6,2013,2010s,Vauxhall-Opel,1.98042870456664,205.00611764705897
313,BMW 3 Series M3 F80 - [2013],425,5500,406.0,1850.0,4.2,2979.0,181.7,155.0,249.0,266.4,2013,2010s,BMW,1.59534534534535,254.49035294117598
314,BMW 4 Series M4 - [2013],425,5500,406.0,1850.0,4.2,2979.0,181.7,155.0,249.0,270.3,2013,2010s,BMW,1.5723270440251598,258.216
315,BMW 4 Series M4 Cabriolet F83 - [2014],425,5500,406.0,1850.0,0.0,2979.0,181.7,155.0,249.0,232.8,2014,2010s,BMW,1.8256013745704498,222.39247058823503
316,Porsche Panamera GTS 4.8 V8 - [2011],424,6700,384.0,3500.0,4.4,4806.0,293.2,179.0,288.0,220.8,2011,2010s,Porsche,1.9202898550724599,199.969811320755
317,Audi R8 4.2 V8 S-Tronic FSI Quattro - [2012],424,7900,317.0,4500.0,4.2,4163.0,254.0,186.0,299.0,255.4,2012,2010s,Audi,1.6601409553641298,190.94764150943402
318,Audi R8 Spyder 4.2 V8 FSI Quattro S-Tronic - [2012],424,7900,317.0,4500.0,4.4,4163.0,254.0,186.0,299.0,240.9,2012,2010s,Audi,1.76006641760066,180.10683962264198
319,Ferrari 512 TR - [1992],422,6750,362.0,5500.0,0.0,4943.0,301.6,195.0,313.0,278.1,1992,1990s,Ferrari,1.51743976986695,238.55971563981004
320,Aston-Martin DB7 Vantage - [1999],420,6000,400.0,5000.0,0.0,5935.0,362.1,185.0,297.0,235.9,1999,1990s,Aston-Martin,1.78041543026706,224.666666666667
321,Aston-Martin Vantage V8 - [2008],420,7000,347.0,5750.0,0.0,4735.0,288.9,180.0,289.0,257.6,2008,2000s,Aston-Martin,1.6304347826087,212.826666666667
322,Jaguar XF 4.2 V8 Supercharged - [2009],420,6250,413.0,4000.0,0.0,4196.0,256.0,155.0,249.0,213.1,2009,2000s,Jaguar,1.97090567808541,209.548333333333
323,Porsche 911 Turbo 996 - [2000],420,6000,413.0,2700.0,3.9,3600.0,219.6,190.0,305.0,271.1,2000,2000s,Porsche,1.5492438214680901,266.581666666667
324,TVR Cerbera 4.5 - [1997],420,6750,380.0,5500.0,3.9,4475.0,273.0,195.0,313.0,381.8,1997,1990s,TVR,1.10005238344683,345.438095238095
325,Volkswagen(VW) Phaeton 6.0 W12 - [2005],420,6000,406.0,3000.0,0.0,5998.0,366.0,155.0,249.0,170.1,2005,2000s,Volkswagen(VW),2.46913580246914,164.43
326,Lamborghini LM002 5.2 V12 - [1986],420,6800,369.0,4500.0,0.0,5167.0,315.3,125.0,201.0,156.0,1986,1980s,Lamborghini,2.69230769230769,137.057142857143
327,Bentley Continental T 6.8 V8 Turbo - [1998],420,4000,645.0,2100.0,0.0,6750.0,411.9,168.0,270.0,171.4,1998,1990s,Bentley,2.45040840140023,263.221428571429
328,Lexus IS F 5.0 V8 - [2008],417,6600,372.0,5200.0,0.0,4969.0,303.2,155.0,249.0,243.2,2008,2000s,Lexus,1.71463815789474,216.955395683453
329,Tesla Model S 85 kWh - [2012],416,5000,443.0,5100.0,4.4,0.0,0.0,130.0,209.0,197.3,2012,2010s,Tesla,2.10846426761277,210.105528846154
330,Porsche Cayenne GTS 4.8 V8 - [2012],415,6500,380.0,3500.0,0.0,4806.0,293.2,162.0,260.0,192.1,2012,2010s,Porsche,2.1603331598126,175.898795180723
331,Ford Mustang FR 500 - [1999],415,6800,365.0,4200.0,4.5,4997.0,304.9,168.0,270.0,255.0,1999,1990s,Ford,1.6274509803921597,224.277108433735
332,Chevrolet SS 6.2 V8 - [2014],415,5900,415.0,4600.0,0.0,6162.0,376.0,155.0,249.0,255.8,2014,2010s,Chevrolet,1.6223612197028898,255.8
333,Audi R8 4.2 FSI Quattro V8 - [2006],414,7800,317.0,4500.0,4.3,4163.0,254.0,187.0,300.0,265.3,2006,2000s,Audi,1.56049754994346,203.14033816425098
334,Audi A4 RS4 4.2 FSI Cabriolet - [2006],414,7800,317.0,5500.0,0.0,4165.0,254.1,155.0,249.0,224.3,2006,2000s,Audi,1.8457423094070402,171.746618357488
335,Jaguar XK R 4.2 V8 Supercharged - [2006],414,6250,413.0,4000.0,0.0,4196.0,256.0,155.0,249.0,248.6,2006,2000s,Jaguar,1.66532582461786,247.999516908213
336,Jaguar XK R S 4.2 V8 Supercharged - [2008],414,6250,413.0,4000.0,0.0,4196.0,256.0,174.0,280.0,248.6,2008,2000s,Jaguar,1.66532582461786,247.999516908213
337,Porsche 911 GT3 997 - [2007],414,7600,299.0,5500.0,4.3,3600.0,219.6,181.0,291.0,296.7,2007,2000s,Porsche,1.3953488372093001,214.28333333333302
338,Audi A4 RS4 4.2 V8 - [2005],414,7800,317.0,5500.0,4.6,4163.0,254.0,155.0,249.0,250.9,2005,2000s,Audi,1.65005978477481,192.11425120772898
339,Audi A4 RS4 Avant 4.2 V8 - [2006],414,7800,317.0,5500.0,4.6,4163.0,254.0,155.0,249.0,242.1,2006,2000s,Audi,1.71003717472119,185.376086956522
340,Vauxhall-Opel VXR8 6.0 V8 - [2007],411,6000,406.0,4400.0,0.0,5967.0,364.1,174.0,280.0,224.4,2007,2000s,Vauxhall-Opel,1.8315508021390399,221.670072992701
341,Chevrolet Corvette C4 ZR1 - [1995],411,5800,385.0,5200.0,4.7,5732.0,349.7,181.0,291.0,258.0,1995,1990s,Chevrolet,1.59302325581395,241.678832116788
342,AC Cobra 427 - [1966],410,6000,482.0,3700.0,4.2,7000.0,427.1,165.0,265.0,357.4,1966,1960s,AC,1.14717403469502,420.16292682926803
343,Porsche 911 GT3 RS 997 - [2006],409,7600,298.0,5500.0,4.2,3600.0,219.6,193.0,310.0,297.4,2006,2000s,Porsche,1.3752521856086102,216.68753056234698
344,Porsche 911 Turbo 993 - [1995],408,5750,398.0,4500.0,3.9,3600.0,219.6,180.0,289.0,271.6,1995,1990s,Porsche,1.5022091310751102,264.943137254902
345,Mitsubishi Lancer Evo VIII MR FQ 400 - [2004],405,6400,350.0,5500.0,3.4,1997.0,121.8,175.0,281.0,287.2,2004,2000s,Mitsubishi,1.4101671309192199,248.197530864198
346,Maserati Ghibli S Q4 3.0 V6 Turbo - [2013],404,5500,406.0,1750.0,4.7,2979.0,181.7,176.0,283.0,216.0,2013,2010s,Maserati,1.8703703703703702,217.06930693069302
347,Maserati Ghibli S 3.0 V6 Turbo - [2013],404,5500,406.0,1750.0,4.7,2979.0,181.7,177.0,284.0,223.2,2013,2010s,Maserati,1.8100358422939098,224.304950495049
348,Mitsubishi Lancer Evo X FQ 400 - [2009],403,6500,387.0,3500.0,3.6,1998.0,121.9,155.0,249.0,258.3,2009,2000s,Mitsubishi,1.56020131629888,248.04491315136502
349,Fisker Karma Hybrid - [2011],402,1,981.0,1.0,0.0,1998.0,121.9,125.0,201.0,167.5,2011,2010s,Fisker,2.4,408.75
350,Pontiac G8 GXP 6.2 V8 - [2008],402,6000,402.0,4400.0,4.7,6162.0,376.0,155.0,249.0,220.2,2008,2000s,Pontiac,1.8256130790190699,220.2
351,Porsche 911 3.8 Speedster - [2010],402,7300,310.0,4200.0,4.4,3800.0,231.8,190.0,305.0,261.0,2010,2010s,Porsche,1.5402298850574698,201.268656716418
352,Mercedes 600 SEL V140 - [1991],402,5200,428.0,3800.0,0.0,5987.0,365.3,159.0,255.0,180.2,1991,1990s,Mercedes,2.23085460599334,191.854726368159
353,Aston-Martin Vantage V8 N400 - [2008],400,7300,309.0,5000.0,0.0,4281.0,261.2,177.0,284.0,245.3,2008,2000s,Aston-Martin,1.63065633917652,189.49425
354,BMW 5 Series M5 E39 - [1999],400,6600,369.0,3800.0,0.0,4941.0,301.5,155.0,249.0,232.5,1999,1990s,BMW,1.72043010752688,214.48125
355,BMW Z8 5.0 V8 2d LHD - [2000],400,6600,369.0,3800.0,0.0,4941.0,301.5,155.0,249.0,252.3,2000,2000s,BMW,1.585414189457,232.74675
356,Dodge Viper SRT/10 8.0L V10 - [1992],400,4600,450.0,3600.0,4.6,7997.0,488.0,168.0,270.0,262.8,1992,1990s,Dodge,1.5220700152206998,295.65
357,Ferrari 288 GTO - [1984],400,7000,366.0,3800.0,0.0,2855.0,174.2,189.0,304.0,344.5,1984,1980s,Ferrari,1.1611030478955,315.2175
358,Ferrari 360 Modena F1 - [1999],400,8500,275.0,4750.0,4.3,3586.0,218.8,183.0,294.0,287.7,1999,1990s,Ferrari,1.3903371567605098,197.79375
359,Jaguar S Type 4.2 V8 R Auto - [2002],400,6100,408.0,3500.0,0.0,4196.0,256.0,155.0,249.0,222.2,2002,2000s,Jaguar,1.8001800180018002,226.644
360,Jaguar XJ R 4.2 V8 Supercharged - [2003],400,6100,408.0,3500.0,0.0,4196.0,256.0,155.0,249.0,240.2,2003,2000s,Jaguar,1.66527893422148,245.00400000000002
361,Maserati GranSport 4.2 V8 - [2004],400,7000,333.0,4500.0,0.0,4244.0,258.9,180.0,289.0,238.0,2004,2000s,Maserati,1.6806722689075602,198.135
362,TVR Sagaris 4.0 - [2003],400,7000,349.0,5000.0,3.9,3996.0,243.8,185.0,297.0,371.0,2003,2000s,TVR,1.07816711590296,323.6975
363,Ferrari 500 Superfast 5.0 V12 - [1964],400,6500,350.0,4750.0,0.0,4963.0,302.8,180.0,289.0,285.7,1964,1960s,Ferrari,1.4000700035001699,249.9875
364,Dodge Viper 8.0L V10 - [1989],400,4600,450.0,3600.0,0.0,7994.0,487.8,160.0,257.0,275.1,1989,1980s,Dodge,1.45401672119229,309.4875
365,Pontiac GTO 6.0 V8 - [2004],400,5200,400.0,4000.0,0.0,5970.0,364.3,180.0,289.0,238.5,2004,2000s,Pontiac,1.67714884696017,238.5
366,Bentley Arnage R 6.8 V8 Turbo - [2002],400,4000,616.0,3250.0,0.0,6750.0,411.9,155.0,249.0,154.7,2002,2000s,Bentley,2.58564964447317,238.238
367,Bentley Continental R 6.8 V8 Turbo - [2001],400,4100,616.0,2150.0,0.0,6750.0,411.9,155.0,249.0,163.2,2001,2000s,Bentley,2.45098039215686,251.328
368,Bentley Mulsanne Turbo RT - [1998],398,4000,590.0,2100.0,0.0,6750.0,411.9,155.0,249.0,162.4,1998,1990s,Bentley,2.45073891625616,240.74371859296502
369,Vauxhall-Opel Monaro 6.0 V8 VXR - [2005],397,6000,390.0,4400.0,0.0,5967.0,364.1,170.0,273.0,236.7,2005,2000s,Vauxhall-Opel,1.6772285593578402,232.52644836272003
370,Chevrolet Corvette C3 427 V8 Convertible - [1968],396,5400,460.0,3600.0,0.0,6996.0,426.9,139.0,223.0,266.1,1968,1960s,Chevrolet,1.48816234498309,309.10606060606096
371,Subaru Impreza STI CS 400 - Cosworth - Hatch - [2010],395,5750,400.0,3950.0,3.7,2457.0,149.9,155.0,249.0,262.4,2010,2010s,Subaru,1.50533536585366,265.721518987342
372,Ford XL XL Fastback 427 - [1968],395,5600,460.0,3200.0,0.0,6964.0,424.9,137.0,220.0,212.4,1968,1960s,Ford,1.85969868173258,247.351898734177
373,Iso Grifo 7 Litre - [1968],395,5200,460.0,3600.0,0.0,6999.0,427.1,171.0,275.0,280.1,1968,1960s,Iso,1.41021063905748,326.192405063291
374,Porsche 911 50 Years 911 Edition - [2013],395,7400,325.0,5600.0,4.5,3800.0,231.8,186.0,299.0,280.1,2013,2010s,Porsche,1.41021063905748,230.462025316456
375,Porsche 911 Carrera 4S 991 - [2012],395,7400,325.0,5600.0,4.4,3800.0,231.8,186.0,299.0,273.3,2012,2010s,Porsche,1.4452982070984297,224.86708860759498
376,Porsche 911 Carrera 4S Cabriolet 991 - [2012],395,7400,325.0,5600.0,4.6,3800.0,231.8,184.0,296.0,260.7,2012,2010s,Porsche,1.51515151515152,214.5
377,Porsche 911 Carrera S 991 - [2011],395,7400,325.0,5600.0,4.4,3800.0,231.8,189.0,304.0,268.7,2011,2010s,Porsche,1.4700409378488999,221.082278481013
378,Porsche 911 Carrera S Cabriolet 991 - [2011],395,7400,325.0,5600.0,4.6,3800.0,231.8,187.0,300.0,269.6,2011,2010s,Porsche,1.46513353115727,221.822784810127
379,Porsche 911 Carrera 4 S PDK 991 - [2012],395,7400,325.0,5600.0,4.2,3800.0,231.8,185.0,297.0,269.6,2012,2010s,Porsche,1.46513353115727,221.822784810127
380,Porsche 911 Carrera S PDK 991 - [2011],395,7400,325.0,5600.0,4.2,3800.0,231.8,188.0,302.0,265.1,2011,2010s,Porsche,1.49000377216145,218.120253164557
381,Porsche Macan 3.6 Turbo - [2013],395,6000,406.0,1350.0,4.7,3605.0,219.9,165.0,265.0,205.1,2013,2010s,Porsche,1.9258898098488502,210.81164556961997
382,Porsche 911 Targa 4S 991 - [2014],395,7400,325.0,5600.0,0.0,3800.0,231.8,184.0,296.0,254.0,2014,2010s,Porsche,1.5551181102362202,208.98734177215198
383,Maserati Quattroporte 4.2 V8 - [2004],394,7000,333.0,4500.0,0.0,4244.0,258.9,171.0,275.0,204.1,2004,2000s,Maserati,1.93042626163645,172.50076142132
384,Ferrari 410 Superamerica Series 3 - [1959],394,6200,340.0,4700.0,0.0,4963.0,302.8,163.0,262.0,266.2,1959,1950s,Ferrari,1.48009015777611,229.71573604060902
385,Dodge Ram Sport RT - [2009],390,5600,390.0,5600.0,0.0,5654.0,345.0,0.0,0.0,179.5,2009,2000s,Dodge,2.17270194986072,179.5
386,Maserati 4200 GT 4.2 V8 - [2003],390,7000,333.0,4500.0,0.0,4244.0,258.9,177.0,284.0,226.7,2003,2000s,Maserati,1.7203352448169398,193.566923076923
387,TVR Tuscan S 4.0 - [2001],390,0,310.0,0.0,3.9,3996.0,243.8,195.0,313.0,354.5,2001,2000s,TVR,1.10014104372355,281.782051282051
388,Ferrari Testarossa 5.0L Boxer - [1984],390,6300,362.0,4500.0,0.0,4943.0,301.6,180.0,289.0,239.2,1984,1980s,Ferrari,1.6304347826087,222.02666666666698
389,Oldsmobile Delta 88 Royale 7.5L V8 - [1970],390,5000,500.0,3200.0,0.0,7467.0,455.6,140.0,225.0,189.5,1970,1970s,Oldsmobile,2.0580474934036896,242.94871794871798
390,Iso Grifo Can-Am 7.4 V8 - [1970],390,4800,500.0,3400.0,4.7,7443.0,454.2,180.0,289.0,242.2,1970,1970s,Iso,1.61023947151115,310.51282051282004
391,Dodge Challenger R/T 440 7.2 V8 - [1970],390,4700,490.0,3200.0,0.0,7206.0,439.7,109.0,175.0,234.2,1970,1970s,Dodge,1.66524338172502,294.25128205128203
392,Monteverdi Hai 450 GTS - [1973],390,5000,432.0,4000.0,4.5,6974.0,425.5,174.0,280.0,302.3,1973,1970s,Monteverdi,1.29010916308303,334.855384615385
393,Monteverdi Hai 450 SS - [1970],390,5000,432.0,4000.0,4.5,6974.0,425.5,180.0,289.0,302.3,1970,1970s,Monteverdi,1.29010916308303,334.855384615385
394,Plymouth Barracuda 440 - [1970],390,4700,490.0,3200.0,0.0,7206.0,439.7,118.0,189.0,244.2,1970,1970s,Plymouth,1.5970515970516002,306.815384615385
395,Mercedes SL Class 600SL V12 R129 - [1992],389,5200,420.0,3800.0,0.0,5987.0,365.3,157.0,252.0,187.9,1992,1990s,Mercedes,2.07025013304949,202.874035989717
396,Lexus LS 600h - [2012],389,6400,384.0,4000.0,0.0,4969.0,303.2,155.0,249.0,169.8,2012,2010s,Lexus,2.29093050647821,167.617480719794
397,Lexus LS 460 4.6 V8 - [2012],386,6400,367.0,4100.0,0.0,4608.0,281.1,130.0,209.0,201.0,2012,2010s,Lexus,1.92039800995025,191.10621761658
398,Lamborghini Miura P4000 SV - [1971],385,7850,294.0,5750.0,0.0,3929.0,239.7,180.0,289.0,297.7,1971,1970s,Lamborghini,1.29324823647968,227.33454545454498
399,MG SV R X Power - [2004],385,6000,376.0,4750.0,0.0,4996.0,304.8,175.0,281.0,256.6,2004,2000s,MG,1.5003897116134097,250.601558441558
400,Oldsmobile Toronado 7L V8 - [1966],385,4800,475.0,3200.0,0.0,6970.0,425.3,130.0,209.0,181.7,1966,1960s,Oldsmobile,2.1188772702256498,224.17532467532502
401,Chevrolet Impala SS 427 - [1967],385,5200,460.0,3400.0,0.0,6999.0,427.1,130.0,209.0,221.2,1967,1960s,Chevrolet,1.74050632911392,264.290909090909
402,Infiniti FX 50 5.0 V8 - [2011],385,6500,369.0,4400.0,0.0,5026.0,306.7,155.0,249.0,181.6,2011,2010s,Infiniti,2.12004405286344,174.052987012987
403,Jensen SP Automatic 7.2 V8 - [1971],385,4700,410.0,3600.0,0.0,7206.0,439.7,143.0,230.0,215.9,1971,1970s,Jensen,1.78323297823066,229.919480519481
404,Bentley Continental R 6.8 V8 Turbo - [1995],385,4000,553.0,2000.0,0.0,6750.0,411.9,151.0,243.0,160.2,1995,1990s,Bentley,2.40324594257179,230.10545454545502
405,Land-Rover Range Rover Sport 4.2 V8 Supercharged - [2005],384,5750,410.0,3500.0,0.0,4197.0,256.1,140.0,225.0,149.4,2005,2000s,Land-Rover,2.57028112449799,159.515625
406,Mercedes E Class 500 Sport - [2009],383,6000,391.0,4800.0,0.0,5461.0,333.2,155.0,249.0,209.2,2009,2000s,Mercedes,1.8307839388145302,213.56971279373403
407,Mercedes CLK 500 Cabriolet - [2006],383,6000,391.0,2800.0,0.0,5461.0,333.2,155.0,249.0,214.5,2006,2000s,Mercedes,1.78554778554779,218.980417754569
408,Porsche 911 GT3 996 - [2003],381,7400,284.0,5000.0,4.5,3600.0,219.6,190.0,305.0,276.0,2003,2000s,Porsche,1.3804347826087,205.732283464567
409,Aston-Martin Vantage V8 - [2005],380,7300,302.0,5000.0,0.0,4281.0,261.2,175.0,281.0,233.1,2005,2000s,Aston-Martin,1.63020163020163,185.253157894737
410,Jaguar XK 5.0 V8 Coupe - [2009],380,6500,380.0,3500.0,0.0,5000.0,305.1,155.0,249.0,228.9,2009,2000s,Jaguar,1.6601135867190902,228.9
411,Porsche 911 Carrera S Cabriolet 997 - [2008],380,6500,310.0,4400.0,0.0,3800.0,231.8,188.0,302.0,251.6,2008,2000s,Porsche,1.51033386327504,205.252631578947
412,Ford Mustang Boss 429 - [1969],380,5200,490.0,3400.0,0.0,7033.0,429.1,115.0,185.0,237.5,1969,1960s,Ford,1.6,306.25
413,Dodge Coronet Hardtop R/T 7.2L V8 440 - [1968],380,4600,480.0,3200.0,0.0,7206.0,439.7,109.0,175.0,220.1,1968,1960s,Dodge,1.72648796001817,278.02105263157904
414,Audi A8 4.2 TDi Quattro - [2013],380,3750,627.0,2000.0,4.6,4134.0,252.2,155.0,249.0,179.6,2013,2010s,Audi,2.1158129175946496,296.34
415,Lotus Carlton 3.6 Turbo - [1990],377,5200,419.0,568.0,0.0,3615.0,220.6,175.0,281.0,226.6,1990,1990s,Lotus,1.66372462488967,251.844562334217
416,Vauxhall-Opel Monaro 5.7 V8 VXR - [2004],377,5800,376.0,4800.0,0.0,5667.0,345.8,162.0,260.0,227.3,2004,2000s,Vauxhall-Opel,1.65860096788385,226.69708222811698
417,Audi A4 RS4 Avant 2.7T Quattro V6 - [2000],376,7000,325.0,6000.0,4.7,2671.0,162.9,155.0,249.0,232.0,2000,2000s,Audi,1.62068965517241,200.53191489361697
418,BMW X5 M50d 3.0 Diesel Turbo - [2013],376,4000,546.0,2000.0,0.0,2993.0,182.6,155.0,249.0,166.0,2013,2010s,BMW,2.26506024096386,241.05319148936198
419,BMW X6 M50d E71 - [2012],376,4000,546.0,2000.0,0.0,2993.0,182.6,155.0,249.0,168.9,2012,2010s,BMW,2.2261693309650696,245.26436170212799
420,BMW Alpina B10 V8S - [2002],375,5800,376.0,3800.0,0.0,4837.0,295.1,177.0,284.0,217.1,2002,2000s,BMW,1.7273146015661,217.67893333333302
421,Dodge Challenger 5.7 V8 R/T - [2009],375,5800,404.0,4200.0,0.0,5654.0,345.0,0.0,0.0,203.6,2009,2000s,Dodge,1.84184675834971,219.34506666666698
422,Ferrari 355 F1 Berlinetta - [1997],375,8250,268.0,6000.0,4.7,3496.0,213.3,183.0,294.0,281.5,1997,1990s,Ferrari,1.3321492007104798,201.178666666667
423,Maserati 3200 GT FH 3.2 Turbo - [1998],375,6250,362.0,4500.0,0.0,3217.0,196.3,174.0,280.0,236.2,1998,1990s,Maserati,1.58763759525826,228.011733333333
424,Porsche 911 GT3 RS 996 - [2003],375,7400,284.0,5000.0,4.4,3600.0,219.6,190.0,305.0,277.7,2003,2000s,Porsche,1.3503781058696398,210.31146666666697
425,Dodge Charger 7.2L Daytona - [1969],375,4600,380.0,3200.0,0.0,7206.0,439.7,121.0,194.0,203.2,1969,1960s,Dodge,1.84547244094488,205.90933333333302
426,Chevrolet Camaro SS 396 Coupe 4 Speed Close 1st Gen - [1967],375,5600,415.0,3600.0,0.0,6489.0,395.9,136.0,218.0,246.7,1967,1960s,Chevrolet,1.52006485610053,273.014666666667
427,Ford Torino 2nd Gen Cobra SportsRoof Boss - [1970],375,5200,490.0,3400.0,0.0,7033.0,429.1,114.0,183.0,209.7,1970,1970s,Ford,1.78826895565093,274.008
428,Lamborghini Countach LP500S - [1982],375,7000,303.0,4500.0,0.0,4754.0,290.1,170.0,273.0,253.3,1982,1980s,Lamborghini,1.4804579549940802,204.6664
429,Oldsmobile Starfire 7.0 V8 - [1966],375,4800,470.0,3200.0,0.0,6970.0,425.3,115.0,185.0,208.4,1966,1960s,Oldsmobile,1.7994241842610401,261.194666666667
430,Monteverdi High Speed 375 L 7.2 V8 - [1967],375,4600,481.0,2800.0,0.0,7206.0,439.7,152.0,244.0,227.9,1967,1960s,Monteverdi,1.64545853444493,292.31973333333303
431,Mercedes E Class 60 AMG 6.0 V8 W124 - [1993],375,5600,347.0,3900.0,0.0,5956.0,363.4,155.0,249.0,219.2,1993,1990s,Mercedes,1.7107664233576598,202.83306666666698
432,BMW 5 Series M550d xDrive F10 - [2013],375,4000,546.0,2000.0,4.5,2993.0,182.6,155.0,249.0,191.8,2013,2010s,BMW,1.95516162669447,279.2608
433,Oldsmobile Toronado 7.4 V8 - [1970],375,4600,510.0,3000.0,0.0,7447.0,454.4,130.0,209.0,184.0,1970,1970s,Oldsmobile,2.03804347826087,250.24
434,Ford Falcon 4th Gen 429 Cobra Jet V-8 4-speed - [1970],370,5400,450.0,3400.0,0.0,7033.0,429.1,133.0,214.0,217.0,1970,1970s,Ford,1.7050691244239597,263.918918918919
435,Ford Torino 2nd Gen GT 429 4V Cobra Jet V-8 4-speed - [1970],370,540,450.0,3400.0,0.0,7033.0,429.1,134.0,215.0,207.0,1970,1970s,Ford,1.7874396135265702,251.756756756757
436,Oldsmobile Cutlass 442 W30 - [1970],370,5200,500.0,3600.0,0.0,7453.0,454.8,116.0,186.0,217.2,1970,1970s,Oldsmobile,1.70349907918969,293.513513513514
437,Jaguar XK R Coupe 4.0 V8 Supercharged - [1998],370,6150,387.0,3600.0,0.0,3996.0,243.8,155.0,249.0,215.4,1998,1990s,Jaguar,1.71773444753946,225.29675675675702
438,Lamborghini Countach LP400S - [1977],370,8000,266.0,5000.0,0.0,3929.0,239.7,164.0,263.0,270.0,1977,1970s,Lamborghini,1.3703703703703702,194.10810810810798
439,Lamborghini Countach LP400 - [1974],370,7500,266.0,5000.0,0.0,3929.0,239.7,162.0,260.0,308.3,1974,1970s,Lamborghini,1.20012974375608,221.64270270270302
440,Oldsmobile 4-4-2 7.4 V8 Sports Coupe 365 - [1969],368,5000,500.0,3200.0,0.0,7447.0,454.4,115.0,185.0,213.4,1969,1960s,Oldsmobile,1.7244611059044002,289.945652173913
441,Mercedes C Class 55 AMG - [2004],367,5250,376.0,4000.0,0.0,5439.0,331.9,155.0,249.0,224.4,2004,2000s,Mercedes,1.63547237076649,229.902997275204
442,Mitsubishi Lancer Evo IX FQ 360 - [2006],366,6887,363.0,3200.0,3.9,1997.0,121.8,157.0,252.0,261.4,2006,2000s,Mitsubishi,1.4001530221882201,259.25737704918
443,Pontiac GTO The Judge 6.5L V8 - [1969],366,5100,445.0,3600.0,0.0,6548.0,399.5,124.0,199.0,230.1,1969,1960s,Pontiac,1.59061277705346,279.766393442623
444,Ford Mustang Mach 1 428 Super Cobra Drag Pack 4 Speed - [1969],365,5400,440.0,3400.0,0.0,6997.0,426.9,111.0,178.0,225.3,1969,1960s,Ford,1.62006213936973,271.59452054794497
445,Chevrolet Corvette C1 327 V8 - [1962],365,6200,352.0,4000.0,0.0,5354.0,326.7,140.0,225.0,260.7,1962,1960s,Chevrolet,1.4000767165324097,251.41479452054799
446,Pontiac GTO 6.4L V8 - [1966],365,5200,424.0,3600.0,0.0,6362.0,388.2,120.0,193.0,226.2,1966,1960s,Pontiac,1.61361626878868,262.763835616438
447,Ford Taurus SHO 3.5 V6 - [2009],365,5500,350.0,3500.0,0.0,3496.0,213.3,155.0,249.0,184.2,2009,2000s,Ford,1.9815418023887101,176.630136986301
448,Ford Taurus SHO 3.5 V6 Performance Pack - [2013],365,5500,350.0,1500.0,0.0,3496.0,213.3,155.0,249.0,182.9,2013,2010s,Ford,1.9956260251503601,175.38356164383598
449,BMW 5 Series 550i M-Sport - [2007],362,6300,361.0,3400.0,0.0,4799.0,292.8,155.0,249.0,208.6,2007,2000s,BMW,1.73537871524449,208.023756906077
450,Morgan Aeromax 4.8 V8 - [2008],362,6300,370.0,3600.0,4.2,4799.0,292.8,170.0,273.0,306.7,2008,2000s,Morgan,1.18030648842517,313.477900552486
451,Wiesmann GT MF4 - [2008],362,6300,361.0,3400.0,4.6,4799.0,292.8,174.0,280.0,289.6,2008,2000s,Wiesmann,1.25,288.8
452,Morgan Aero Coupe 4.8L V8 - [2011],362,6300,361.0,3400.0,4.2,4799.0,292.8,170.0,273.0,308.0,2011,2010s,Morgan,1.17532467532468,307.149171270718
453,Mercedes CLK 55 AMG Cabriolet - [2003],362,5750,376.0,4000.0,0.0,5439.0,331.9,155.0,249.0,198.9,2003,2000s,Mercedes,1.82001005530417,206.59226519336997
454,Holden Commodore SS 6.0 V8 - [2011],362,5700,391.0,4400.0,0.0,5967.0,364.1,155.0,249.0,208.8,2011,2010s,Holden,1.73371647509579,225.527071823204
455,Pontiac G8 GT 6.0 - [2008],361,5300,385.0,4400.0,0.0,5967.0,364.1,140.0,225.0,194.0,2008,2000s,Pontiac,1.8608247422680402,206.897506925208
456,BMW Alpina B3 3.0 Bi Turbo - [2006],360,5500,368.0,3800.0,0.0,2979.0,181.7,180.0,289.0,229.2,2006,2000s,BMW,1.57068062827225,234.293333333333
457,BMW 3 Series M3 CSL 2d SMG E46 - [2003],360,7900,274.0,4900.0,0.0,3246.0,198.0,155.0,249.0,259.9,2003,2000s,BMW,1.38514813389765,197.81277777777802
